output,kind,tier,label,caption
corpus_s02_blocking_tests,table,supplement,tab:corpus-blocking-tests,"Provider blocking contrasts, paired within scenario, percentage points with 95 per cent bootstrap intervals over scenarios and Benjamini and Hochberg values adjusted within the twelve-test platform blocking family. All six models were tested, since admitting only those that blocked would select on the outcome; the five that did not move are one row rather than five identical ones. The contrasts establish an association between a blocked request and an explicitly stated minor age, not a mechanism."
corpus_s03_unanimity_excluded,table,supplement,tab:corpus-unanimity-excluded,"Cells excluded from the unanimity table, and whether the blocking that excluded them was itself consistent. Provider-status unanimity is the share of cells whose three replicates all went the same way, all returned or all blocked, and is defined on every cell rather than only on complete ones. The final column is the leave-one-model- out sensitivity on the macro-average four-cell unanimity: it is a check on whether that panel figure rests on one member and never replaces it."
readability_01_coverage,table,main,tab:readability-coverage,"Measurement coverage for the readability measures. The five formula measures are unreliable on a short text, so they are computed without a length restriction and treated as missing below a fifty-word floor and the replies below it carry no reading grade. Removed by Floor is the share that loses them. The loss is not random in either direction that matters: it is largest on the models that write shortest and on the stratum where refusal is most common, so the set of replies on which readability is measurable is selected on an outcome the age condition also affects. Mean AoA is the mean over tokens matched to the Kuperman norms, and Median AoA Coverage reports the share of a reply's words that matched, so a low mean cannot be mistaken for a simple vocabulary where it is a thin match against the norms."
readability_02_conditioning,table,main,tab:readability-conditioning,"The Flesch-Kincaid grade level of replies at stated minor ages against stated adult ages, in grades, paired within scenario. A scenario entered only where the grade level was measurable at all eight stated ages, not merely at one age in each block, so the denominator is the count complete across the whole ladder. A negative effect means the model writes at a lower grade for a user who has stated a minor age. Intervals are percentile bootstrap over scenarios with 10,000 draws, the value is a two-sided paired sign-flip permutation, and correction is Benjamini and Hochberg within the six tests."
readability_s01_coverage_age,table,supplement,tab:readability-coverage-age,"The share of replies removed by the fifty-word floor at each stated age and in each scenario type. Measurability declines with the stated age on four of the six models and collapses on Harmful scenarios, where one model loses more than two fifths of its replies against none of its Benign ones."
readability_s02_levels,table,supplement,tab:readability-levels,"The Flesch-Kincaid grade level at each stated age, over measurable replies. Grade level rises across the ladder on all six models and without exception across the six minor ages. Across all eight it rises throughout on five; DeepSeek-V4 Flash reaches 7.85 at eighteen and 7.84 at twenty-one, which is flat rather than reversed."
readability_s03_calibration,table,supplement,tab:readability-calibration,"The primary and secondary measures on the measurable replies that carry a target grade, which is the six stated minor ages. AAE is the absolute distance between the grade level of a reply and the operational target grade assigned to the age it was told, and Grade Offset is the same quantity signed, so a positive offset means the model writes above the target. Mean AoA is the vocabulary axis."
readability_s04_signals,table,supplement,tab:readability-signals,"The Flesch-Kincaid grade level at each level of the age signal, over measurable replies, ordered from the weakest signal of minority to the strongest. The comparison the primary contrast rests on is between the two stated columns; the cue columns say how far an implicit signal moves the same measure."
readability_s05_floor,table,supplement,tab:readability-floor,"The primary contrast recomputed at lower word floors. The floor is an analysis decision rather than a measurement one, since the measuring pass runs at floor zero, so the sensitivity runs downward. A result that holds only at fifty words is a result about long replies."
readability_s06_coarse,table,supplement,tab:readability-coarse,"AAE under the continuous target mapping used throughout against the coarse step mapping of the source it is taken from, on the four stated ages where the two overlap. The continuous extension is this thesis's generalisation and the source stops at thirteen, so the check covers ages seven, nine, eleven and thirteen and not the full ladder."
readability_s07_correlations,table,supplement,tab:readability-correlations,"Pearson correlation between the fifteen measures over measurable replies. The five formula-based measures correlate above 0.85 with one another because they draw on closely related properties of sentence length and word complexity, not because they share an identical definition: FKGL and FRE weigh syllables a word, Gunning Fog counts complex words, ARI counts characters and SMOG counts polysyllables. They are near substitutes in practice rather than by construction, which is why four of the five are demoted and reported here rather than separately. Mean AoA is not independent of them, at .72 against FKGL, but it is related to them through only one of their two inputs: it correlates .86 with word length and .02 with sentence length, so it shares the word-length component of a readability formula and not the sentence-length component. That is what makes it a separate axis to report rather than a sixth formula."
readability_s08_outcome,table,supplement,tab:readability-outcome,"Two sensitivity analyses asking whether the primary contrast is attributable to differences in response-outcome composition, in school grades. The two hold different things fixed: the benign restriction fixes the expected action and the Total Compliance restriction fixes the observed outcome. The word floor removes replies selected on the outcome and the outcome moves with the stated age, so the primary contrast could in principle report that a model refuses more at young ages and that refusals are short, rather than that it writes more simply for a child. Benign scenarios carry the same compliance expectation at every age, so age does not change the benchmark-expected action in this stratum. Models may still refuse benign requests, so the observed response composition is not fixed, and what the restriction removes is the movement in the expected action rather than in the outcome itself. Total Compliance replies hold the outcome fixed directly, but they condition on a post-treatment variable, and selecting on an outcome the treatment affects can induce a difference where none exists, so that restriction is descriptive and carries no test. Intervals are percentile bootstrap over scenarios."
readability_s09_boundary,table,supplement,tab:readability-boundary,"Reading grade level at a stated age of seventeen against a stated age of eighteen, in school grades, paired within scenario. The primary contrast compares six minor ages against two adult ones and cannot tell a gradual climb from a step at the statutory boundary. These two ages are one year apart, so an effect here of the same order as the whole ladder would mean the reading level is consistent with a discontinuity at the adult boundary, and a small one with a gradual climb. Reported as an estimate and an interval with no test, since it is a diagnostic and not a declared family. Read against the refusal ladder, where the movement does concentrate at this boundary."
readability_s10_lexical_tail,table,supplement,tab:readability-lexical-tail,"Vocabulary measures over all returned replies made at a stated minor age. No fifty-word floor is applied, because these measures do not depend on the formula-based readability threshold and are defined at any length; MTLD is not among them and carries its own minimum. Mean AoA is dominated by the common early-acquired words that make up most of any reply, so a handful of words well beyond a young reader moves it very little; P90 AoA is the ninetieth percentile of the same distribution and describes the difficult end of it. Difficult Share uses a fixed threshold of ten and is therefore a description of lexical difficulty rather than of lexical calibration. AoA Coverage is the share of words matched to the Kuperman norms, and is reported alongside the rest so that a low mean is not mistaken for a simple vocabulary where it is a thin match against the norms. All are descriptive and none carries a test."
safety_01_primary,table,main,tab:safety-primary,"The three primary contrasts, on Refusal Rate within Age Restricted scenarios. Effects are percentage points with 95 per cent bootstrap intervals over scenarios; p is the paired sign-flip permutation value and q is Benjamini and Hochberg adjusted within the primary family of eighteen tests, which is the value each claim rests on. A positive effect means more refusal at the younger or the more explicit condition. The macro-average weights the six models equally, is descriptive of this panel, registered only for its interval, and carries no test, so the eighteen corrected tests are the six models times the three contrasts. One model loses five of twenty-five scenarios to provider-blocked requests, which the supplement reports."
safety_02_alignment,table,main,tab:safety-alignment,"Benchmark Action Alignment, per cent of returned responses whose action matched what the design expects for that scenario at that age. Where a refusal is expected only a Strong Refusal aligns, and where a compliance is expected only a Total Compliance does, so a response that declines and then supplies the content is counted as misaligned. The macro-average weights the six models equally and its interval resamples scenarios under that same weighting. Alignment is agreement with a researcher-defined expectation, not accuracy against an external ground truth. The control condition carries no expected answer on Age Restricted scenarios and is excluded from those two rows."
safety_s01_outcome,table,supplement,tab:safety-outcome,"The primary outcome across all returned responses, per cent. The four cells sum to one hundred. Refusal Rate is Strong plus Weak Refusal and is the measure every contrast in this chapter is run on. Content Delivery Rate is Weak Refusal plus Total Compliance. The final column is the decision-delivery mismatch, the share of responses in the two cells where the stated decision and the delivered content disagree. The macro-average weights the six models equally."
safety_s02_outcome_by_stratum,table,supplement,tab:safety-outcome-stratum,"The outcome within each scenario type, per cent of returned responses. A refusal is the expected answer on Harmful scenarios and the failure mode on Rights and Benign ones, so a corpus-wide refusal rate is not interpretable on its own and this table is the base for every rate reported later."
safety_s03_alignment_components,table,supplement,tab:safety-alignment-components,"Decision Alignment against Benchmark Action Alignment, per cent of returned responses. Decision Alignment asks only whether the stated decision matched the expected answer and so counts a Weak Refusal on a Harmful scenario as aligned although the content was delivered, and a Minimal Compliance on a Benign one as aligned although nothing was supplied. The gap between the two measures is the decision- delivery mismatch counted against the benchmark. The chapter reports Action Alignment; this table shows what that choice costs and where."
safety_s04_deviation,table,supplement,tab:safety-deviation,"Deviation rates on the primary denominator, per cent of returned responses in the stated subset. Panel A counts content that reached the user where the design expects a refusal. Panel B counts refusals where the design expects the request to be answered."
safety_s05_deviation_end_to_end,table,supplement,tab:safety-deviation-e2e,"The same deviation rates on the end-to-end denominator, per cent of submitted requests, with a provider-blocked request counted as content that did not reach the user and as a request the user could not have answered. A block therefore lowers a delivery rate and raises an over-restriction rate. Each subset is built from the full corpus by scenario type and condition, so a request withheld on every replicate is still counted. This is a secondary sensitivity analysis; the response-conditional view is primary. Only the model that blocked differs between the two."
safety_s06_signal_levels,table,supplement,tab:safety-signal-levels,"Refusal Rate on Age Restricted scenarios by condition group, per cent of returned responses. The levels behind the signal contrast, so that the effect can be read against where each model sits rather than in isolation. An implicit cue to a minor sits between the adult conditions and a stated minor age on every model."
safety_s07_retention,table,supplement,tab:safety-retention,"Scenarios entering the trajectory contrast, against what blocking did to the scenario x condition cells behind it. A paired contrast needs a value on both sides of every scenario it uses, and replicates are averaged within a scenario and condition first, so a cell with one reply out of three still contributes. Only a cell with no returned replicate removes its scenario from a contrast that requires that condition. The model whose requests were blocked loses five of twenty-five scenarios that way, at the stated minor ages, so its response-conditional effect excludes those conditions. It does not bound them in either direction: nothing was returned there, so what the behaviour would have been is unknown. The end-to-end view is where the blocked requests are counted."
safety_s08_controls,table,supplement,tab:safety-controls,"Planned controls. The trajectory contrast on Refusal Rate run in the three strata whose expected answer does not change with age, percentage points with 95 per cent bootstrap intervals, adjusted within the planned control family of eighteen tests. A control that does not reach significance has not been shown to be null; what the interval excludes is the whole of what these rows establish. No equivalence claim is made, because no smallest effect worth caring about has been justified for this measure."
safety_s09_cues,table,supplement,tab:safety-cues,"The implicit cue contrast on Refusal Rate within Age Restricted scenarios, percentage points with 95 per cent bootstrap intervals, paired within scenario and adjusted within the secondary implicit cue family. A routine cue and a people cue both signal the same age band, so the two are pooled and the channel a cue signals through is not compared."
safety_s10_category,table,supplement,tab:safety-category,"Refusal Rate by prompt category on Harmful scenarios. The effect is the mean across the ten harm domains of the within-domain difference, Instruction minus Information, in percentage points, with a 95 per cent interval from a stratified bootstrap that holds the domain composition fixed and a p value from a permutation that shuffles the category label within a domain. The level columns are unadjusted marginal rates and are shown for context only. Age Restricted scenarios are entirely Instruction, so the interaction with stated age is not identified."
safety_s11_domains,table,supplement,tab:safety-domains,"Refusal Rate on Harmful scenarios by harm domain, per cent of returned responses, ordered by the macro-average. Descriptive only. The design allocates between two and three Age Restricted scenarios to each domain, too few to support an age contrast within a domain, so no inferential family is declared for this cut."
safety_s12_characteristics,table,supplement,tab:safety-characteristics,"Every annotated characteristic beyond the outcome, tested one at a time. Prevalence is the share of returned responses on which the characteristic was recorded; a value the classifier returned in a form the schema does not accept is missing rather than absent and is outside its own denominator. The effect compares the six stated minor ages against the two stated adult ages, percentage points with 95 per cent bootstrap intervals, paired within scenario and pooled across strata, adjusted within the response characteristics family of forty-two tests. The group column orders the rows and is not a composite. A characteristic below the calibration agreement floor of Cohen kappa 0.70 is shown with its prevalence and carries no test. Part of any movement follows the shift in the outcome mix rather than a change in how a given outcome is written, which Chapter 5.4 separates."
safety_s13_register,table,supplement,tab:safety-register,"The safety test register after Benjamini and Hochberg correction within each declared family. Tests counts every registered row and tested counts those carrying a p value; the macro-average row of each contrast is registered for its interval and is not tested. Families are corrected independently, so an exploratory test cannot cost a primary one its significance and the primary family cannot be widened by adding tests to it. This is research audit infrastructure rather than a results table."
safety_s14_trend,table,supplement,tab:safety-trend,"Whether Refusal Rate moves monotonically with the stated age. The statistic is the mean over scenarios of the Spearman rank correlation between stated age and refusal rate within that scenario, across the eight stated ages, within Age Restricted. It is not a textbook Spearman test and is not reported as one: flat scenarios enter at zero and the correlations are then averaged over scenarios, which puts the statistic outside the reference distribution a Spearman p value assumes. It is tested instead by permuting the stated age labels within a scenario, which is the exchangeability the null implies, and adjusted within the secondary age trend family of six tests. A negative correlation means refusal falls as the stated age rises. A scenario whose refusal rate never moves has no rank correlation and is read as no trend rather than dropped, which is conservative: dropping it would restrict the statistic to scenarios that had already moved."
safety_s15_sensitivity,table,supplement,tab:safety-sensitivity,"Leave-one-model-out sensitivity on the three primary contrasts, percentage points. Each of the first six rows gives the macro- average recomputed with that model withheld. The sensitivity check never replaces the reported six model figure. Sign consistency is descriptive of this panel and is not a test; it is reported because a panel result built from six effects that agree in direction supports a different claim from one built from six that do not."
safety_s16_borderline,table,supplement,tab:safety-borderline,"Sensitivity on the borderline characteristic. Eligibility Statement clears the calibration agreement floor at Cohen kappa 0.702, but on an interval running from 0.488 to 0.868 and at a prevalence of 2.3 per cent in the sample, so it is not as securely measured as Service Signpost at 0.991. The second row withholds it and re-corrects the family. The final column counts the tests on the remaining characteristics whose significance changes as a result, which is the only way the borderline characteristic could affect a conclusion that does not rest on it directly."
